[example.MinimumPathSumTest.testMinimumPathSumWithNegativeNumberGrid, example.MinimumPathSumTest.testMinimumPathSumGridOneRowGrid, example.MinimumPathSumTest.testMinimumPathSumWithEmptyGrid, example.MinimumPathSumTest.testMinimumPathSumWithRegularGrid, example.MinimumPathSumTest.testMinimumPathSumWithOneRowOneColumnGrid, example.MinimumPathSumTest.testMinimumPathSumWithDiffRowAndColumnGrid, example.MinimumPathSumTest.testMinimumPathSumWithOneColumnGrid]
src/main/java/example/MinimumPathSum.java
00034,x,o,o,x,o,x,x
00035,x,o,o,x,o,x,x
00037,x,o,o,x,o,x,x
00038,-,-,o,-,-,-,-
00041,x,o,-,x,o,x,x
00044,x,o,-,x,o,x,x
00047,x,o,-,x,o,x,x
00048,x,o,-,x,-,x,-
00052,x,o,-,x,o,x,x
00054,x,-,-,x,-,x,x
00056,x,-,-,x,-,x,x
00063,x,o,-,x,o,x,-
